2024.08.19,12:00,40690.8,40926,40678.6,40848.8,12615
2024.08.19,16:00,40850.1,40948.7,40831.7,40922.8,9636
2024.08.19,20:00,40926.1,40939.2,40876.7,40916.7,1430
2024.08.20,0:00,40917.7,40943.9,40893.5,40913.1,1422
2024.08.20,4:00,40912.5,40992.9,40912.5,40982.5,2277
2024.08.20,8:00,40981.8,40981.8,40896.1,40915.2,3296
2024.08.20,12:00,40915.6,40933.2,40784.9,40892.7,13750
2024.08.20,16:00,40893.2,40948,40813.7,40856.2,10831
2024.08.20,20:00,40862.1,40900.3,40858.8,40893.8,1520
2024.08.21,0:00,40893.4,40930.1,40893.4,40920.2,1613
2024.08.21,4:00,40919.6,40940.2,40905.6,40919.7,1962
2024.08.21,8:00,40918.4,40944,40889,40932.9,3041
2024.08.21,12:00,40932.3,41011,40765.7,40819.2,15900
2024.08.21,16:00,40817.1,40959.2,40776.8,40924,13975
2024.08.21,20:00,40915,40957.7,40904.8,40954.4,1679
2024.08.22,0:00,40953.6,40967.9,40885.7,40893,1562
2024.08.22,4:00,40894,40974.7,40885.7,40959.9,1718
2024.08.22,8:00,40959.6,40989.2,40939.2,40960.1,2521
2024.08.22,12:00,40959.9,41084.5,40719.9,40748.9,16256
2024.08.22,16:00,40747.8,40906.2,40607.9,40763.9,19760
2024.08.22,20:00,40760.6,40812.8,40738.7,40812.8,2161
2024.08.23,0:00,40813.8,40844.7,40795.8,40830.6,1695
2024.08.23,4:00,40829.7,40866.8,40829.7,40842.8,1756
2024.08.23,8:00,40842.4,40923.2,40832.1,40919.3,2914
2024.08.23,12:00,40918.3,41235.8,40863.8,41058.8,22539
2024.08.23,16:00,41058.9,41229.7,40859.5,41185.5,18535
2024.08.25,22:00,41198,41267.8,41173.9,41192.8,1926
2024.08.26,0:00,41193.4,41239.3,41174.4,41180.5,2025
2024.08.26,4:00,41180,41229.4,41176,41229.2,1800
2024.08.26,8:00,41228.3,41268.6,41218,41257.5,3126
2024.08.26,12:00,41257.4,41464.4,41210.3,41231.3,21546
2024.08.26,16:00,41231.2,41349.5,41172.3,41285.4,17134
2024.08.26,20:00,41284.1,41289.4,41206.8,41254.8,2291
2024.08.27,0:00,41256.3,41271.3,41228.2,41255,2115
2024.08.27,4:00,41256.4,41298,41247.1,41293,2015
2024.08.27,8:00,41293.2,41331.3,41207.8,41250.1,3932
2024.08.27,12:00,41251,41300.5,41123.4,41219.6,21607
2024.08.27,16:00,41218.3,41311.5,41134.2,41295.3,12081
2024.08.27,20:00,41291.3,41316.6,41249.4,41278.9,2086
2024.08.28,0:00,41278,41314.4,41276.1,41308.6,1816
2024.08.28,4:00,41309.5,41328.6,41304.1,41326.2,1162
2024.08.28,8:00,41325.7,41325.7,41274.8,41279.1,2702
2024.08.28,12:00,41279.5,41402.2,41140.2,41164.2,19366
2024.08.28,16:00,41165.5,41186.5,40872.1,41133.1,23482
2024.08.28,20:00,41138.2,41223.1,41067.4,41129,9305
2024.08.29,0:00,41130.3,41236.1,41124,41224.3,2692
2024.08.29,4:00,41225.3,41318.4,41223,41307.6,3193
2024.08.29,8:00,41310,41398.7,41269.7,41391,5763
2024.08.29,12:00,41391.5,41510.3,41123,41505.1,26183
2024.08.29,16:00,41506.4,41631.3,41306.2,41386.5,28789
2024.08.29,20:00,41387.8,41450.8,41365.4,41370.5,2536
2024.08.30,0:00,41371,41408.8,41339.2,41387.4,2363
2024.08.30,4:00,41388,41449.4,41373.5,41436.7,2813
2024.08.30,8:00,41436.1,41482.8,41418.8,41464.6,3582
2024.08.30,12:00,41465,41531.2,41244.7,41285.6,26151
2024.08.30,16:00,41283.8,41608.8,41166.6,41570.5,19356
2024.09.01,22:00,41586.7,41607.1,41579.3,41586.3,893
2024.09.02,0:00,41585.5,41614.8,41569.6,41582.9,1614
2024.09.02,4:00,41581.6,41601.9,41468,41526.6,2645
2024.09.02,8:00,41527.7,41581,41507.6,41568.1,2515
2024.09.02,12:00,41568,41614,41518.7,41582.1,3734
2024.09.02,16:00,41580.7,41598.5,41562.7,41597.8,638
2024.09.02,22:00,41600.4,41609.9,41522.5,41544.9,1293
2024.09.03,0:00,41545.8,41575.1,41504.6,41539.5,2054
2024.09.03,4:00,41540,41579.6,41517.7,41568.8,2666
2024.09.03,8:00,41569.4,41573,41377.7,41404,6118
2024.09.03,12:00,41404,41485.8,41096.5,41156.8,32022
2024.09.03,16:00,41155.8,41205.5,40823.5,40983.4,23824
2024.09.03,20:00,40987.4,41002.7,40931.3,40961.7,4360
2024.09.04,0:00,40963.6,40994.9,40825.3,40856.7,6994
2024.09.04,4:00,40857.7,40941.7,40816.7,40923.4,6586
2024.09.04,8:00,40924,40962.6,40871.7,40906.7,5976
2024.09.04,12:00,40907.5,41224.6,40900.8,41043.5,25532
2024.09.04,16:00,41042.6,41081.9,40886.9,41011.5,20093
2024.09.04,20:00,41006.5,41028.8,40940.3,40987.9,3186
2024.09.05,0:00,40986.4,41070,40984.3,40994.1,3823
2024.09.05,4:00,40992.6,41089.6,40950.6,41078.6,4356
2024.09.05,8:00,41076.1,41095.5,41029.1,41039,5004
2024.09.05,12:00,41038.1,41143.7,40632.7,40638.7,33064
2024.09.05,16:00,40636.9,40928.8,40568.6,40817.7,22733
2024.09.05,20:00,40821.8,40870.5,40814.5,40858.3,3425
2024.09.06,0:00,40856.5,40864,40755.6,40834.5,3840
2024.09.06,4:00,40835.1,40849.1,40600.5,40671.5,5704
2024.09.06,8:00,40671.6,40720.1,40631.8,40681.8,6316
2024.09.06,12:00,40680.8,41065.9,40386.6,40416,52001
2024.09.06,16:00,40414.7,40502.1,40331.8,40395.4,32570
2024.09.08,22:00,40354.5,40418.6,40331.7,40403.7,2649
2024.09.09,0:00,40403.9,40501.8,40402.5,40497.9,3966
2024.09.09,4:00,40497.3,40620.9,40494.4,40619.7,4820
2024.09.09,8:00,40618.6,40718.8,40563.7,40680,5687
2024.09.09,12:00,40680.5,40985.9,40577.7,40946.7,28572
2024.09.09,16:00,40946.6,41068,40785.8,40882.5,21454
2024.09.09,20:00,40883.6,40923.9,40874.4,40883.5,2923
2024.09.10,0:00,40884.9,40891.7,40820.6,40848.5,3712
2024.09.10,4:00,40850,40917.5,40792.6,40914.5,4286
2024.09.10,8:00,40915,40947.6,40783,40869.5,7051
2024.09.10,12:00,40870.1,40991.1,40531.5,40533.7,29302
2024.09.10,16:00,40534.9,40810,40467.7,40792.7,20917
2024.09.10,20:00,40792,40824.9,40763.4,40778.4,1779
2024.09.11,0:00,40779,40785.8,40628.4,40651.1,4918
2024.09.11,4:00,40650.5,40720.9,40605.4,40689.6,4991
2024.09.11,8:00,40690.8,40710.6,40593,40698.2,5446
2024.09.11,12:00,40697.8,40706.8,40045.6,40317.9,40667
2024.09.11,16:00,40316.6,40960.9,40300.7,40891.5,32500
2024.09.11,20:00,40888.8,40918.8,40878.6,40896.4,2669
2024.09.12,0:00,40897,40956.9,40882.6,40950.9,3335
